date, pm25, o3
2017-08-04,45,24
2017-08-05,40,18
2017-08-06,52,18
2017-08-07,66,17
2017-08-08,43,30
2017-08-09,47,18
2017-08-10,53,15
2017-08-11,29,20
2017-08-12,37,22
2017-08-13,34,18
2017-08-14,50,16
2017-08-15,53,15
2017-08-16,44,20
2017-08-17,54,15
2017-08-18,55,18
2017-08-19,44,17
2017-08-20,39,15
2017-08-21,33,22
2017-08-22,22,23
2017-08-23,25,25
2017-08-24,23,24
2017-08-25,24,24
2017-08-26,19,26
2017-08-27,27,26
2017-08-28,18,31
2017-08-29,16,30
2017-08-30,24,34
2017-08-31,35,31
2017-09-01,38,22
2017-09-02,35,28
2017-09-03,25,24
2017-09-04,23,21
2017-09-05,19,21
2017-09-06,32, 
2017-09-10,41,38
2017-09-11,42,36
2017-09-12,40,42
2017-09-13,44,40
2017-09-14,49,34
2017-09-15,47,26
2017-09-16,45,21
2017-09-17,48,19
2017-09-18,33,13
2017-09-19,33,13
2017-09-20,48,15
2017-09-21,38,13
2017-09-22,31,18
2017-09-23,33,22
2017-09-24,36,14
2017-09-25,28,13
2017-09-26,39,14
2017-09-27,46,16
2017-09-28,30,14
2017-09-29,24,21
2017-09-30,29,33
2017-10-01,51,36
2017-04-02,67,27
2017-04-03,83,34
2017-04-04,22,32
2017-04-05,49,35
2017-04-06,44,39
2017-04-07,22,39
2017-04-08,17,35
2017-04-09,21,29
2017-04-10,34,24
2017-04-11,70,26
2017-04-12,54,30
2017-04-13,33,29
2017-04-14,34,28
2017-04-15,32,24
2017-04-16,35,27
2017-04-17,49,29
2017-04-18,48,39
2017-04-19,34,38
2017-04-20,35,27
2017-04-21,36,23
2017-04-22,36,28
2017-04-23,37,36
2017-04-24,15,37
2017-04-25,26,30
2017-04-26,43,34
2017-04-27,73,36
2017-04-28,63,33
2017-04-29,80,34
2017-04-30,94,40
2017-05-01,18,45
2017-05-02,25,38
2017-05-03,39,25
2017-05-04,68,39
2017-05-05,27,42
2017-05-06,21,42
2017-05-07,16,36
2017-05-08,25,31
2017-05-09,29,31
2017-05-10,59,30
2017-05-11,60,27
2017-05-12,66,37
2017-05-13,55,46
2017-05-14,54,43
2017-05-15,29,33
2017-05-16,45,27
2017-05-17,48,30
2017-05-18,73,24
2017-05-19,67,24
2017-05-20,48,22
2017-05-21,55,20
2017-05-22,52,24
2017-05-23,53,24
2017-05-24,52,43
2017-05-25,16,33
2017-05-26,40,25
2017-05-27,59,25
2017-05-28,77,21
2017-05-29,67,33
2017-05-30,32,39
2017-05-31,34,27
2017-06-01,42,24
2017-06-02,29,23
2017-06-03,42,24
2017-06-04,39,28
2017-06-05,28,37
2017-06-06,28,39
2017-06-07,30,44
2017-06-08,32,53
2017-06-09,41,38
2017-06-10,41,34
2017-06-11,32,27
2017-06-12,25,26
2017-06-13,39,20
2017-06-14,46,15
2017-06-15,46,17
2017-06-16,34,19
2017-06-17,38,19
2017-06-18,34,18
2017-06-19,28,21
2017-06-20,28,27
2017-06-21,27,35
2017-06-22,42,35
2017-06-23,47,25
2017-06-24,49,17
2017-06-25,39,19
2017-06-26,21,23
2017-06-27,13,22
2017-06-28,13,29
2017-06-29,21,18
2017-06-30,51,14
2017-07-01,56,15
2017-01-28,1,32
2017-01-29,10,30
2017-01-30,10,30
2017-01-31,11,32
2017-02-01,28,32
2017-02-02,48,31
2017-02-03,64,29
2017-02-04,55,22
2017-02-05,36,15
2017-02-06,41,20
2017-02-07,38,20
2017-02-08,39,26
2017-02-09,68,37
2017-02-10,48,37
2017-02-11,57,27
2017-02-12,46,18
2017-02-13,45,18
2017-02-14,43,24
2017-02-15,23,28
2017-02-16,21,32
2017-02-17,33,35
2017-02-18,33,31
2017-02-19,63,29
2017-02-20,71,24
2017-02-21,28,27
2017-02-22,20,34
2017-02-23,29,34
2017-02-24,47,36
2017-02-25,48,35
2017-02-26,31,38
2017-02-27,47,28
2017-02-28,55,26
2017-03-01,78,26
2017-03-02,66,28
2017-03-03,22,39
2017-03-04,29,36
2017-03-05,20,27
2017-03-06,22,21
2017-03-07,37,20
2017-03-08,44,19
2017-03-09,32,19
